StoreNumber,Store,Street,City,State,Zip,Latitude,Longitude
4171290,Dominos,419 South St,Front Royal,VA,22630,38.9181671,-78.1944446
4171219,Dominos,201 Davis DR,Sterling,VA,20164,39.0065292,-77.3981483
4171204,Dominos,81 W Lee Hwy,Warrenton,VA,20186,38.7134516,-77.7952712
4171423,Dominos,118 Ferry St,Sedro-Woolley,WA,98284,48.50389,-122.23611
4171645,Dominos,403 W Lakeway,Gillette,WY,82716,44.2877722,-105.5110052
4171644,Dominos,430 Uinta Dr.,Green River,WY,82935,41.5285757,-109.4662461
4166736,Dominos,413 3rd St Sw,Cullman,AL,35055,34.1733801,-86.8538916
4166798,Dominos,710 E 32nd St,Yuma,AZ,85364,32.6926512,-114.6276916
4166796,Dominos,712 S 4th Ave,Yuma,AZ,85364,32.7142738,-114.6288681
4167278,Dominos,1510 Baker St,Costa Mesa,CA,92626,33.6834142,-117.9073244
4167098,Dominos,1650 E 4th St,Ontario,CA,91764,34.0812439,-117.619814
4167029,Dominos,3119 Broadway,Sacramento,CA,95817,38.5500434,-121.4599012
4167365,Dominos,1808 Cliff Dr,Santa Barbara,CA,93101,34.4208305,-119.6981901
4166969,Dominos,431 N Ojai Rd,Santa Paula,CA,93060,34.412614,-119.085921
4167497,Dominos,132 Church St,Naugatuck,CT,6770,41.4894408,-73.05639
4167480,Dominos,77 Meriden rd,Waterbury,CT,6705,41.5475082,-73.0177208
4167839,Dominos,4795 Fay Blvd,Cocoa,FL,32927,28.468773,-80.7979821
4167743,Dominos,5315 HWY 98 N,Lakeland,FL,33809,28.1301078,-81.9735137
4167691,Dominos,4563 Hwy 20 E,Niceville,FL,32578,30.5168639,-86.482172
4167680,Dominos,3800 Tampa Rd,Oldsmar,FL,34677,28.0341847,-82.6650992
4168040,Dominos,3505 Baker Rd,Acworth,GA,30101,34.0704366,-84.6591702
4168179,Dominos,837 S Lake St,Mundelein,IL,60060,42.2422174,-88.0040983
4168163,Dominos,2501 Broadway,Quincy,IL,62301,39.942065,-91.395169
4168143,Dominos,200 North Ave,West Chicago,IL,60185,41.9146112,-88.2042989
4168315,Dominos,5374 Broadway,Merrillville,IN,46410,41.4828144,-87.3328139
4168295,Dominos,2619 N 6th St,Vincennes,IN,47591,38.677269,-87.5286325
4168290,Dominos,1486 W Oak St,Zionsville,IN,46077,39.9508733,-86.261937
4168090,Dominos,401 Grand Ave,Des Moines,IA,50309,41.5885349,-93.6229123
4168387,Dominos,11036 Quivira,Overland Park,KS,66215,38.9647235,-94.7381013
4168426,Dominos,304 S Main St,Madisonville,KY,42341,36.9201174,-87.4872535
4168473,Dominos,675 Knox Blvd,Radcliff,KY,40160,37.8403456,-85.9491298
4168779,Dominos,5400 East Dr.,Arbutus,MD,21227,39.2494098,-76.6936252
4168773,Dominos,4101 Falls Rd,Baltimore,MD,21211,39.3376354,-76.6373663
4168608,Dominos,61 Hancock St,Quincy,MA,2171,42.2991086,-71.0111463
4168590,Dominos,624 Boston Rd,Springfield,MA,1103,42.101483,-72.589811
4168851,Dominos,200 Pearl St.,Houghton,MI,49931,47.0979653,-88.5606025
4168825,Dominos,2700 State St,Saginaw,MI,48602,43.446396,-83.975487
4168990,Dominos,455 W 79th St,Chanhassen,MN,55317,44.8422533,-93.5509074
4168933,Dominos,106 E Main St,New Prague,MN,56071,44.4933018,-93.6286055
4169604,Dominos,1769 Route 88,Brick,NJ,8724,40.0876046,-74.1122506
4169594,Dominos,1 Berlin Road,Clementon,NJ,8021,39.8115033,-74.9829443
4169569,Dominos,430 Route 206,Hillsborough,NJ,8844,40.5106322,-74.6472522
4169556,Dominos,440 Broad Ave,Leonia,NJ,7605,40.8614887,-73.9881942
4169546,Dominos,340 Ryders Ln,Milltown,NJ,8850,40.4562164,-74.4432073
4169522,Dominos,61 State Road,Princeton,NJ,8540,40.3646021,-74.66399
4169508,Dominos,59 Academy St,South Orange,NJ,7079,40.7489277,-74.2609903
4169502,Dominos,1501 Rte 37 E,Toms River,NJ,8753,39.9716571,-74.1504455
4169640,Dominos,1610 E Hwy 66,Gallup,NM,87301,35.5280783,-108.7425843
4169625,Dominos,3530 Zafarano,Santa Fe,NM,87507,35.6204185,-106.1345705
4169834,Dominos,103 E Main St,Canton,NY,13617,39.9573059,-82.986011
4169418,Dominos,3254 Ray Road,Anderson Creek,NC,28390,35.2834941,-78.9169696
4169402,Dominos,412 E Main St,Carrboro,NC,27510,40.9473744,-90.3693505
4169224,Dominos,7451 B Hwy 22,Whispering Pines,NC,28327,35.2557123,-79.3722503
4170085,Dominos,5817 Main Ave,Ashtabula,OH,44004,41.8650534,-80.7898089
4170071,Dominos,425 E Wooster,Bowling Green,OH,43402,41.3747744,-83.6513229
4170098,Dominos,224 N Main St,Findlay,OH,44830,41.1575546,-83.4140291
4170004,Dominos,8007 State St,Garrettsville,OH,44231,41.2842224,-81.0964856
4170330,Dominos,625 Elm Ave W,Hanover,PA,17331,39.8006553,-76.9830358
4170326,Dominos,501 S 29th St,Harrisburg,PA,17104,40.255136,-76.857682
4170322,Dominos,1301 Moore St,Huntingdon,PA,16652,40.4956892,-78.0163793
4170225,Dominos,614 E Main St,Waynesboro,Pa,17268,39.755927,-77.5777692
4170410,Dominos,210 Dexter St,Pawtucket,RI,2860,41.8813899,-71.3894349
4170469,Dominos,55 Mathews Dr,Hilton Head,SC,29926,32.2306364,-80.7325287
4170448,Dominos,665 Wilson Rd,Newberry,SC,29108,34.2745833,-81.6187178
4170635,Dominos,2507 Ocoee st,Cleveland,TN,37312,35.1933317,-84.8537177
4170617,Dominos,2116 Roane St,Harriman,TN,37748,35.9098211,-84.5872155
4170573,Dominos,686 Union Ave,Memphis,TN,38103,35.1543632,-90.0606637
4171109,Dominos,710 N Parkway,Alvarado,TX,76009,32.4065312,-97.2116782
4171097,Dominos,1838 S Cooper,Arlington,TX,76013,32.7229925,-97.1520926
4171077,Dominos,636 Boyd Road,Azle,TX,76020,32.8951262,-97.5458565
4171063,Dominos,323 N Main St,Belton,TX,76513,31.0560132,-97.464453
4171031,Dominos,11217 Leopard,Corpus Christi,TX,78410,27.8222933,-97.5788975
4171008,Dominos,101 S Hampton,De Soto,TX,75115,32.5896499,-96.8399843
4171007,Dominos,301 Center St,Deer Park,TX,77536,29.7083968,-95.1236572
4170952,Dominos,4101 Main Ave,Groves,TX,77619,29.9482695,-93.9171155
4170896,Dominos,5733 Kirby Dr,Houston,TX,77005,29.7183467,-95.4306141
4170920,Dominos,9445 Jones Rd,Houston,TX,77065,29.9305879,-95.5984925
4170871,Dominos,901 N 10th St,Killeen,TX,76541,31.1168297,-97.725376
4170796,Dominos,2110 W 5th St,Plainview,TX,79072,34.1843597,-101.7288564
4170748,Dominos,5748 Evers Rd,San Antonio,TX,78240,29.5269768,-98.6105703
4170708,Dominos,605 N Main St,Sweeny,TX,77480,29.0388615,-95.6985608
4170707,Dominos,1010 Lamar St,Sweetwater,TX,79556,32.4709519,-100.4059384
4170689,Dominos,970 N Main St,Vidor,TX,77662,30.1316001,-94.0154541
4170676,Dominos,412 S 17th St,West Columbia,TX,77486,29.1438582,-95.6452249
4170674,Dominos,309 E. Boling,Wharton,TX,77488,29.3116366,-96.1027371
4171339,Dominos,1000c Main St,Altavista,VA,24517,37.1583348,-79.233837
4171327,Dominos,905 N Main St,Blacksburg,VA,24060,37.2295733,-80.4139393
4171300,Dominos,10895 Main St,Fairfax,VA,22030,38.8454321,-77.3209555
4171284,Dominos,31 Miller Cir,Harrisonburg,VA,22801,38.4495688,-78.8689155
4171285,Dominos,41 Burgess Rd,Harrisonburg,VA,22801,38.4495688,-78.8689155
4171276,Dominos,9 Campbell St,Luray,VA,22835,38.665397,-78.4594522
4171273,Dominos,3920 Wards Rd,Lynchburg,VA,24502,37.3210145,-79.1897626
4171232,Dominos,604 N Main St,South Boston,VA,24592,36.6987493,-78.9013987
4171482,Dominos,1879 First St,Cheney,WA,99004,47.48739,-117.575762
4171443,Dominos,19653 7th Ave,Poulsbo,WA,98370,47.7348346,-122.6325106
4171416,Dominos,5620 S. Regal,Spokane,WA,99223,47.5888029,-117.3272224
